Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","47948-0001","ANT-SMD_47948-0001",14.550000,2.700000,180.000000,top
"C1","4.7uF","C0402",8.519530,6.864794,90.000000,top
"C2","100nF","C0402",13.209530,12.904794,180.000000,top
"C3","100nF","C0402",2.519530,13.114794,0.000000,top
"C4","100nF","C0402",6.269530,19.104794,-90.000000,top
"C5","100nF","C0402",2.519530,15.494794,0.000000,top
"C6","100nF","C0402",2.519530,11.114794,0.000000,top
"C7","100nF","C0402",11.650000,7.150000,135.000000,top
"C8","100nF","C0402",13.209530,15.114794,180.000000,top
"C9","100nF","C0402",13.209530,12.124794,180.000000,top
"C10","100nF","C0402",6.469530,6.864794,90.000000,top
"C11","4.7uF","C0402",12.509530,17.544794,90.000000,top
"C12","4.7uF","C0402_WIDE",9.889530,17.054794,180.000000,top
"C13","4.7uF","C0402_WIDE",9.889530,17.844794,180.000000,top
"C14","15pF","C0402",8.119530,5.614794,0.000000,top
"C15","15pF","C0402",6.559530,5.154794,180.000000,top
"C16","10uF","C0603",6.790000,21.940000,90.000000,top
"C17","1uF","C0603",12.400000,21.850000,90.000000,top
"C18","22uF","C0603",16.500000,21.800000,-90.000000,top
"C21","4.7uF","C0402",16.550000,5.825000,0.000000,top
"C22","4.7uF","C0402",13.794530,7.984794,0.000000,top
"CN1","QWIIC","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",17.000000,16.800000,90.000000,top
"J1","5035661102","CON_5035661102_MOL",1.640000,6.450013,-90.000000,top
"L1","3.3uH","IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T",9.889530,19.279794,0.000000,top
"L2","2.2uH","L0603",14.150000,5.850000,-45.000000,top
"L3","4.3nH","L0402-RD",18.390000,5.825000,180.000000,top
"LED1","LTST-C281TGKT-5A","LED0402-R-RD_GREEN",19.315000,21.525000,-90.000000,top
"R1","33Ω","R0402",12.509530,19.164794,-90.000000,top
"R2","1kΩ","R0402",7.719530,6.844794,90.000000,top
"R3","1kΩ","R0402",9.300000,6.000000,-90.000000,top
"R4","27Ω","R0402",7.099530,19.094794,90.000000,top
"R5","27Ω","R0402",7.879530,19.094794,90.000000,top
"R6","1kΩ","R0402",6.069530,16.984794,180.000000,top
"R7","5.1kΩ","R0402",11.250000,22.230000,90.000000,top
"R8","5.1kΩ","R0402",8.250000,22.230000,90.000000,top
"R9","0Ω","R0402",18.150000,4.500000,-135.000000,top
"R10","10kΩ","R0402",13.594530,10.184794,180.000000,top
"R11","470Ω","R0402",13.594530,10.934794,180.000000,top
"R12","470Ω","R0402",17.950000,21.100000,0.000000,top
"SW1","Button","SW-SMD_L3.9-W3.0-P4.45",3.000000,19.034794,0.000000,top
"SW2","Button","SW-SMD_L3.9-W3.0-P4.45",11.100000,3.084794,90.000000,top
"U1","RP2354A","QFN-60_L7.0-W7.0-P0.40-TL-EP3.4",7.889530,12.314794,0.000000,top
"U2","ABM8-272-T3","CRYSTAL-SMD_4P-L3.2-W2.5-BL",7.300000,2.944794,180.000000,top
"U3","TLV76733","WSON-6_L2.0-W2.0-P0.65-TL-EP",14.500000,21.800000,180.000000,top
"U5","LBEE5KL1YN-814","LGA-46_L7.0-W5.2_LBEE5KL1DX-883",17.214530,9.784794,90.000000,top
"USBC1","USB-C 16P","USB-C_SMD-TYPE-C-31-M-12_1",10.000000,26.500000,180.000000,top
