Comment,Designator,Footprint,LCSC,Quantity
0Ω,R9,R0402,C17168,1
100nF,"C10,C2,C3,C4,C5,C6,C7,C8,C9",C0402,C307331,9
10kΩ,R10,R0402,C25744,1
10uF,C16,C0603,C96446,1
15pF,"C14,C15",C0402,C1548,2
1kΩ,"R2,R3,R6",R0402,C11702,3
1uF,C17,C0603,C15849,1
2.2uH,L2,L0603,C337910,1
22uF,C18,C0603,C59461,1
27Ω,"R4,R5",R0402,C25100,2
3.3uH,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
33Ω,R1,R0402,C25105,1
4.3nH,L3,L0402-RD,C275290,1
4.7uF,"C1,C11,C12,C13,C21,C22",C0402,C23733,6
470Ω,"R11,R12,R13,R14",R0402,C25117,4
47948-0001,AE1,ANT-SMD_47948-0001,C152351,1
5.1kΩ,"R7,R8",R0402,C25905,2
5035661102,J1,CON_5035661102_MOL,C3036270,1
ABM8-272-T3,U2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
Blue,LED3,LED0402-RD_BLUE,C364550,1
Button,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,2
LBEE5KL1YN-814,U5,LGA-46_L7.0-W5.2_LBEE5KL1DX-883,C6583742,1
LTST-C281TGKT-5A,LED1,LED0402-R-RD_GREEN,C364549,1
QWIIC,CN1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,1
RP2354A,U1,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,C41378174,1
TLV76733,U3,WSON-6_L2.0-W2.0-P0.65-TL-EP,C2848334,1
USB-C 16P,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
White,LED2,LED-SMD_L1.0-W0.5-RD_WHITE,C157742,1
~,ART1,azlan.works_logo,,1
