Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,47948-0001,ANT-SMD_47948-0001,14.55,2.7,180.0,top
ART1,~,azlan.works_logo,2.15,23.636382,-90.0,top
ART1,~,azlan.works_logo,10.0,27.1,180.0,bottom
C1,4.7uF,C0402,8.51953,6.864794,90.0,top
C10,100nF,C0402,6.46953,6.864794,90.0,top
C11,4.7uF,C0402,12.50953,17.544794,90.0,top
C12,4.7uF,C0402_WIDE,9.88953,17.054794,180.0,top
C13,4.7uF,C0402_WIDE,9.88953,17.844794,180.0,top
C14,15pF,C0402,8.11953,5.614794,0.0,top
C15,15pF,C0402,6.55953,5.154794,180.0,top
C16,10uF,C0603,6.79,21.94,90.0,top
C17,1uF,C0603,12.4,21.85,90.0,top
C18,22uF,C0603,17.15,21.55,180.0,top
C2,100nF,C0402,13.20953,12.904794,180.0,top
C21,4.7uF,C0402,16.55,5.825,0.0,top
C22,4.7uF,C0402,13.79453,7.984794,0.0,top
C3,100nF,C0402,2.51953,13.114794,0.0,top
C4,100nF,C0402,6.26953,19.104794,-90.0,top
C5,100nF,C0402,2.51953,15.494794,0.0,top
C6,100nF,C0402,2.51953,11.114794,0.0,top
C7,100nF,C0402,11.65,7.15,135.0,top
C8,100nF,C0402,13.20953,15.114794,180.0,top
C9,100nF,C0402,13.20953,12.124794,180.0,top
CN1,QWIIC,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,17.0125,16.8,90.0,top
J1,5035661102,CON_5035661102_MOL,1.725,6.444933,-90.0,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,9.88953,19.279794,0.0,top
L2,2.2uH,L0603,14.15,5.85,-45.0,top
L3,4.3nH,L0402-RD,18.39,5.825,180.0,top
LED1,LTST-C281TGKT-5A,LED0402-R-RD_GREEN,19.175,25.375,-90.0,top
LED2,White,LED-SMD_L1.0-W0.5-RD_WHITE,17.9,25.37,-90.0,top
LED3,Blue,LED0402-RD_BLUE,16.65,25.39,-90.0,top
R1,33Ω,R0402,12.50953,19.164794,-90.0,top
R10,10kΩ,R0402,13.59453,10.184794,180.0,top
R11,470Ω,R0402,13.59453,10.934794,180.0,top
R12,470Ω,R0402,19.175,23.62,90.0,top
R13,470Ω,R0402,17.9,23.62,90.0,top
R14,470Ω,R0402,16.65,23.64,90.0,top
R2,1kΩ,R0402,7.71953,6.844794,90.0,top
R3,1kΩ,R0402,9.3,6.0,-90.0,top
R4,27Ω,R0402,7.09953,19.094794,90.0,top
R5,27Ω,R0402,7.87953,19.094794,90.0,top
R6,1kΩ,R0402,6.06953,16.984794,180.0,top
R7,5.1kΩ,R0402,11.25,22.23,90.0,top
R8,5.1kΩ,R0402,8.25,22.23,90.0,top
R9,0Ω,R0402,18.15,4.5,-135.0,top
SW1,Button,SW-SMD_L3.9-W3.0-P4.45,3.0,19.034794,0.0,top
SW2,Button,SW-SMD_L3.9-W3.0-P4.45,11.1,3.084794,90.0,top
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,7.88953,12.314794,0.0,top
U2,ABM8-272-T3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,7.3,2.944794,180.0,top
U3,TLV76733,WSON-6_L2.0-W2.0-P0.65-TL-EP,14.5,21.8,180.0,top
U5,LBEE5KL1YN-814,LGA-46_L7.0-W5.2_LBEE5KL1DX-883,17.26453,9.784794,90.0,top
USBC1,USB-C 16P,USB-C_SMD-TYPE-C-31-M-12_1,10.0,26.53,180.0,top
