"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Footprint","MPN","LCSC Part"
"ART1","1","","","","Other:azlan.works_logo","",""
"C14,C15","2","15pF","","","Capacitors:C0402","0402CG150J500NT","C1548"
"R9","1","0Ω","","","Resistors:R0402","0402WGF0000TCE","C17168"
"R2,R3,R6","3","1kΩ","","","Resistors:R0402","0402WGF1001TCE","C11702"
"R10","1","10kΩ","","","Resistors:R0402","0402WGF1002TCE","C25744"
"R4,R5","2","27Ω","","","Resistors:R0402","0402WGF270JTCE","C25100"
"R1","1","33Ω","","","Resistors:R0402","0402WGF330JTCE","C25105"
"R11,R12,R13,R14","4","470Ω","","","Resistors:R0402","0402WGF4700TCE","C25117"
"R7,R8","2","5.1kΩ","","","Resistors:R0402","0402WGF5101TCE","C25905"
"AE1","1","47948-0001","","","Antennas:ANT-SMD_47948-0001","47948-0001","C152351"
"J1","1","5035661102","","","Connectors:CON_5035661102_MOL","503566-1102","C3036270"
"U2","1","ABM8-272-T3","","","Crystals:CRYSTAL-SMD_4P-L3.2-W2.5-BL","ABM8-272-T3","C20625731"
"L1","1","3.3uH","","","Inductors:IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T","AOTA-B201610S3R3-101-T","C42411119"
"C1,C11,C12,C13,C21,C22","6","4.7uF","","","Capacitors:C0402,Capacitors:C0402_WIDE","CL05A475MP5NRNC","C23733"
"C2,C3,C4,C5,C6,C7,C8,C9,C10","9","100nF","","","Capacitors:C0402","CL05B104KB54PNC","C307331"
"C17","1","1uF","","","Capacitors:C0603","CL10A105KB8NNNC","C15849"
"C16","1","10uF","","","Capacitors:C0603","CL10A106MA8NRNC","C96446"
"C18","1","22uF","","","Capacitors:C0603","CL10A226MQ8NRNC","C59461"
"U5","1","LBEE5KL1YN-814","","","Modules:LGA-46_L7.0-W5.2_LBEE5KL1DX-883","LBEE5KL1YN-814","C6583742"
"L2","1","2.2uH","","","Inductors:L0603","LQM18PN2R2MFRL","C337910"
"LED3","1","Blue","","","LEDs:LED0402-RD_BLUE","LTST-C281TBKT-5A","C364550"
"LED1","1","LTST-C281TGKT-5A","","","Other:LED0402-R-RD_GREEN","LTST-C281TGKT-5A","C364549"
"LED2","1","White","","","LEDs:LED-SMD_L1.0-W0.5-RD_WHITE","LTW-C281DS5","C157742"
"L3","1","4.3nH","","","Inductors:L0402-RD","MLG1005S4N3CT000","C275290"
"U1","1","RP2354A","","","ICs:QFN-60_L7.0-W7.0-P0.40-TL-EP3.4","RP2354A","C41378174"
"CN1","1","QWIIC","","","Connectors:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","SM04B-SRSS-TB(LF)(SN)","C160404"
"U3","1","TLV76733","","","ICs:WSON-6_L2.0-W2.0-P0.65-TL-EP","TLV76733DRVR","C2848334"
"SW1,SW2","2","Button","","","Other:SW-SMD_L3.9-W3.0-P4.45","TS-1088-AR02016","C720477"
"USBC1","1","USB-C 16P","","","Connectors:USB-C_SMD-TYPE-C-31-M-12_1","TYPE-C-31-M-12","C165948"
